first file , second file , err reason,Date/Time
/media/disk-b/bevan/vp6/vp6_yuv/flv4_grandma_32x16_ms.yuv,/media/disk-b/bevan/vp6/on2_vp6/flv4_grandma_32x16_on2_dec.yuv,the file size is not consistent,Wed Dec  1 02:47:08 2010
/media/disk-b/bevan/vp6/vp6_yuv/vp60_grandma_32x16_ms.yuv,/media/disk-b/bevan/vp6/on2_vp6/vp60_grandma_32x16_on2_dec.yuv,the file size is not consistent,Wed Dec  1 02:47:11 2010
/media/disk-b/bevan/vp6/vp6_yuv/vp61_grandma_32x16_ms.yuv,/media/disk-b/bevan/vp6/on2_vp6/vp61_grandma_32x16_on2_dec.yuv,the file size is not consistent,Wed Dec  1 02:47:13 2010
/media/disk-b/bevan/vp6/vp6_yuv/vp62_grandma_32x16_ms.yuv,/media/disk-b/bevan/vp6/on2_vp6/vp62_grandma_32x16_on2_dec.yuv,the file size is not consistent,Wed Dec  1 02:47:16 2010
/media/disk-b/bevan/vp6/vp6_yuv/vp6f_grandma_32x16_ms.yuv,/media/disk-b/bevan/vp6/on2_vp6/vp6f_grandma_32x16_on2_dec.yuv,the file size is not consistent,Wed Dec  1 02:47:19 2010
/media/disk-b/bevan/vp6/vp6_yuv/vp60_sport_720x576_2000000_ms.yuv,/media/disk-b/bevan/vp6/on2_vp6/vp60_sport_720x576_2000000_on2_dec.yuv,the file content is not consistent,Wed Dec  1 02:50:15 2010
/media/disk-b/bevan/vp6/vp6_yuv/vp61_sport_720x576_2000000_ms.yuv,/media/disk-b/bevan/vp6/on2_vp6/vp61_sport_720x576_2000000_on2_dec.yuv,the file content is not consistent,Wed Dec  1 02:50:57 2010
/media/disk-b/bevan/vp6/vp6_yuv/flv4_mobcal_1280x720_4000000_ms.yuv,/media/disk-b/bevan/vp6/on2_vp6/flv4_mobcal_1280x720_4000000_on2_dec.yuv,the file size is not consistent,Wed Dec  1 02:52:52 2010
/media/disk-b/bevan/vp6/vp6_yuv/vp60_mobcal_1280x720_4000000_ms.yuv,/media/disk-b/bevan/vp6/on2_vp6/vp60_mobcal_1280x720_4000000_on2_dec.yuv,the file size is not consistent,Wed Dec  1 02:53:17 2010
/media/disk-b/bevan/vp6/vp6_yuv/vp61_mobcal_1280x720_4000000_ms.yuv,/media/disk-b/bevan/vp6/on2_vp6/vp61_mobcal_1280x720_4000000_on2_dec.yuv,the file size is not consistent,Wed Dec  1 02:53:50 2010
/media/disk-b/bevan/vp6/vp6_yuv/vp62_mobcal_1280x720_4000000_ms.yuv,/media/disk-b/bevan/vp6/on2_vp6/vp62_mobcal_1280x720_4000000_on2_dec.yuv,the file size is not consistent,Wed Dec  1 02:54:23 2010
/media/disk-b/bevan/vp6/vp6_yuv/vp6f_mobcal_1280x720_4000000_ms.yuv,/media/disk-b/bevan/vp6/on2_vp6/vp6f_mobcal_1280x720_4000000_on2_dec.yuv,the file size is not consistent,Wed Dec  1 02:54:56 2010
